total_points,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,transfers_in,transfers_out,name,element,team,position,value,selected,was_home,xP,round,GW
2.62,0.0,0.12,73.88,0.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,6.44,11.12,2.01,0.88,1.0,1.0,1.62,3.62,15004.25,19084.38,Kevin Schade,0,Brentford,MID,68,1.3,0.5,0.0,37,37
3.0,0.12,0.12,63.38,0.25,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,13.97,28.01,14.0,5.6,0.75,0.62,0.75,3.25,4.62,25455.38,40427.12,Florian Wirtz,0,Liverpool,MID,83,8.5,0.5,0.0,37,37
0.25,0.0,0.0,4.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.57,1.38,0.34,0.12,0.0,0.12,0.25,0.38,66218.5,365556.25,Hugo Ekitiké,0,Liverpool,FWD,90,15.7,0.5,0.0,37,37
3.38,0.0,0.0,90.0,0.38,0.88,0.0,0.0,0.0,2.25,0.12,0.0,0.0,0.0,17.55,0.0,0.0,1.74,1.0,0.0,0.75,6.25,0.0,30137.75,26860.62,Đorđe Petrović,0,Bournemouth,GK,46,5.2,0.5,0.0,37,37
3.62,0.0,0.12,90.0,0.25,1.62,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.0,16.55,18.29,2.25,3.71,1.0,1.75,2.75,7.0,11.5,5865.62,8206.75,Granit Xhaka,0,Sunderland,MID,51,3.2,0.5,0.0,37,37
3.75,0.0,0.0,73.88,0.38,0.88,0.0,0.0,0.0,0.0,0.12,0.12,0.38,0.0,16.67,2.4,3.0,2.18,0.88,1.0,7.0,2.88,8.0,45475.12,68877.75,Joachim Andersen,0,Fulham,DEF,44,2.8,0.5,0.0,37,37
2.62,0.25,0.0,34.88,0.12,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,13.0,12.86,12.12,3.8,0.38,0.75,0.12,1.5,2.38,24603.25,33906.62,Mohamed Salah,0,Liverpool,MID,140,15.2,0.5,0.0,37,37
4.62,0.0,0.0,90.0,0.38,1.0,0.0,0.0,0.0,3.12,0.0,0.0,0.62,0.0,24.25,0.0,0.0,2.42,1.0,0.0,1.25,8.12,0.0,22816.12,9746.38,Bernd Leno,0,Fulham,GK,50,2.3,0.5,0.0,37,37
6.5,0.38,0.0,90.0,0.25,1.38,0.12,0.0,0.0,0.0,0.0,0.0,0.62,0.0,40.35,5.06,17.38,6.29,1.0,1.75,10.5,3.88,12.25,42571.88,12370.25,Konstantinos Mavropanos,0,West Ham,DEF,45,2.6,0.5,0.0,37,37
2.88,0.0,0.12,78.75,0.12,1.62,0.0,0.0,0.0,2.88,0.0,0.0,0.12,0.0,24.85,1.25,0.0,2.6,0.88,0.0,0.25,7.75,0.0,25033.62,25042.88,Emiliano Martínez Romero,0,Aston Villa,GK,50,4.4,0.5,0.0,37,37
5.75,0.5,0.12,71.0,0.38,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,29.48,33.75,31.5,9.48,0.75,0.88,0.62,3.88,5.38,71800.25,4888.62,Jérémy Doku,0,Man City,MID,65,6.6,0.5,0.0,37,37
4.25,0.0,0.12,84.38,0.38,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,17.4,0.99,1.5,1.97,0.88,1.12,7.25,2.75,8.38,8240.5,5619.5,Nikola Milenković,0,Nott'm Forest,DEF,51,3.3,0.5,0.0,37,37
2.5,0.12,0.12,40.25,0.38,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.25,0.0,10.83,11.94,13.62,3.64,0.38,0.25,0.5,1.5,2.25,19672.25,707.0,Leandro Trossard,0,Arsenal,MID,66,1.8,0.5,0.0,37,37
14.88,1.38,0.5,244.25,0.88,3.38,0.0,0.0,0.0,0.0,0.62,0.0,2.12,0.0,75.32,29.95,101.88,20.65,2.5,3.38,7.5,7.5,18.38,437068.25,392927.75,Richarlison Richarlison,0,Spurs,FWD,65,8.7,0.5,0.0,37,37
5.12,0.12,0.0,90.0,0.5,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,17.27,12.08,13.0,4.24,1.0,1.12,4.12,2.75,5.25,24017.38,6708.25,Ferdi Kadıoğlu,0,Brighton,DEF,45,1.4,0.5,0.0,37,37
3.88,0.25,0.0,83.12,0.62,0.75,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.0,20.35,26.42,18.5,6.54,1.0,2.25,1.25,3.0,6.5,26865.75,15705.62,Yankuba Minteh,0,Brighton,MID,55,2.5,0.5,0.0,37,37
2.0,0.0,0.12,77.38,0.12,1.38,0.0,0.0,0.0,0.0,0.25,0.0,0.12,0.0,12.75,10.79,3.88,2.74,0.88,2.25,2.12,1.5,4.38,22818.5,61878.5,Matty Cash,0,Aston Villa,DEF,46,7.4,0.5,0.0,37,37
14.62,0.12,0.38,349.12,1.12,5.0,0.0,0.0,0.0,0.0,1.25,0.0,1.0,0.0,86.28,110.21,25.25,22.19,4.0,9.5,17.75,16.5,27.25,242715.12,394975.38,Pedro Pedro Porro,0,Spurs,DEF,52,11.7,0.5,0.0,37,37
3.25,0.25,0.12,61.5,0.12,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.45,8.62,25.12,4.61,0.5,0.12,0.38,2.38,2.88,89053.12,42270.25,Ismaïla Sarr,0,Crystal Palace,MID,64,5.6,0.5,0.0,37,37
1.62,0.0,0.0,73.12,0.12,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,10.95,1.84,1.0,1.39,0.88,0.88,2.62,3.0,3.5,15970.62,90518.88,Micky van de Ven,0,Spurs,DEF,44,17.6,0.5,0.0,37,37
2.75,0.12,0.12,86.38,0.12,1.75,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,16.23,5.86,10.0,3.21,1.0,1.0,5.0,3.0,6.0,4973.38,3902.5,Jake O'Brien,0,Everton,DEF,49,0.7,0.5,0.0,37,37
